"","date","median","lower_95","upper_95"
"1",2025-10-01,1.16577071579682,1.06134873340743,1.2719738245285
"2",2025-10-02,1.16651526956797,1.06781656670294,1.26534980741065
"3",2025-10-03,1.16722216667068,1.07348396812292,1.26161167135013
"4",2025-10-04,1.16752226847647,1.08093784376568,1.25311099094539
"5",2025-10-05,1.168547258514,1.08617488478642,1.25040378458088
"6",2025-10-06,1.16925970004218,1.09266285884999,1.24791930377241
"7",2025-10-07,1.17004303838184,1.09847904229824,1.24578993601291
"8",2025-10-08,1.17021049520671,1.10469182194349,1.23940621923689
"9",2025-10-09,1.17047590729879,1.10837825004427,1.23886969311622
"10",2025-10-10,1.17010793601338,1.11297710875979,1.23379555151066
"11",2025-10-11,1.16940576783873,1.11404988640439,1.22959723244485
"12",2025-10-12,1.16914463357932,1.1174792686134,1.22551574235694
"13",2025-10-13,1.16889324325667,1.11877438868466,1.22099260687037
"14",2025-10-14,1.16885624958004,1.12078605128819,1.22001725842486
"15",2025-10-15,1.16846138220548,1.12053048572154,1.21777406570238
"16",2025-10-16,1.16874743098445,1.12352063915849,1.21433222476532
"17",2025-10-17,1.16884092395496,1.12407948756824,1.21251081108467
"18",2025-10-18,1.16901560316084,1.126328814005,1.21453882212781
"19",2025-10-19,1.16928521200561,1.12585418964066,1.21326695562373
"20",2025-10-20,1.17040896710555,1.12845151772633,1.21425345789947
"21",2025-10-21,1.1703843498611,1.1276341065075,1.21744310618158
"22",2025-10-22,1.17070679269783,1.13066632053336,1.21554483340365
"23",2025-10-23,1.17024935431992,1.13131048703161,1.21424789258929
"24",2025-10-24,1.17023130051974,1.13129666939626,1.21766235224997
"25",2025-10-25,1.17046226158319,1.13320799974814,1.21538431270256
"26",2025-10-26,1.16961111700186,1.13273631200598,1.21220313291437
"27",2025-10-27,1.16946005804677,1.13171449085301,1.21303362716289
"28",2025-10-28,1.16903500947999,1.13017539969429,1.20852414352797
"29",2025-10-29,1.16849315002722,1.13194177860054,1.21010986635595
"30",2025-10-30,1.16825690265446,1.1293893514452,1.20823456990146
"31",2025-10-31,1.16824960732867,1.1286701038836,1.20713828125912
"32",2025-11-01,1.1679802066058,1.13104491717455,1.20437050634106
"33",2025-11-02,1.16759480415667,1.13129671676807,1.20593185531987
"34",2025-11-03,1.16697588989484,1.13068958220115,1.20386200453732
"35",2025-11-04,1.16638434401449,1.12974767191617,1.19923221710962
"36",2025-11-05,1.16567728650672,1.12843373494308,1.1963451490528
"37",2025-11-06,1.16524369494526,1.12811404676752,1.19689169911351
"38",2025-11-07,1.16529662311427,1.12942518815119,1.19671355713119
"39",2025-11-08,1.16528296964868,1.12366896523649,1.19682242065629
"40",2025-11-09,1.16545802745977,1.12406225563493,1.19575590904707
"41",2025-11-10,1.16628958254941,1.12529831890319,1.1928582729583
"42",2025-11-11,1.16680508797137,1.12368985296234,1.1943619397543
"43",2025-11-12,1.16760528155419,1.12674264201307,1.19551401389502
"44",2025-11-13,1.16979256297541,1.12969270297163,1.19928869955013
"45",2025-11-14,1.17257557190597,1.13646462984924,1.20555824512934
"46",2025-11-15,1.17496791909552,1.1376696610659,1.21001971063021
"47",2025-11-16,1.1770721534432,1.14304877046569,1.21208489249801
"48",2025-11-17,1.17861329231602,1.1492356355568,1.21554045540071
"49",2025-11-18,1.17956270379696,1.1518602747826,1.21660739353543
"50",2025-11-19,1.17944002123538,1.15280280780605,1.21895950886541
"51",2025-11-20,1.17936705412602,1.15289163099933,1.22235543930211
"52",2025-11-21,1.17873940590506,1.15331728579277,1.22050800018286
"53",2025-11-22,1.17675105837717,1.1518947402542,1.21652849287516
"54",2025-11-23,1.17351448240429,1.14769640846745,1.21168701208865
"55",2025-11-24,1.16960698094075,1.14315978796508,1.20528636767688
"56",2025-11-25,1.16471366639408,1.13678653418472,1.19914103153105
"57",2025-11-26,1.15890308381522,1.13410550381306,1.19181736506134
"58",2025-11-27,1.15361076840627,1.12723270043501,1.18352331037018
"59",2025-11-28,1.14767560537853,1.11694500493302,1.17574005445817
"60",2025-11-29,1.1419791601843,1.10828584288531,1.16610871743856
"61",2025-11-30,1.13626801451737,1.10384112057545,1.15995634947608
"62",2025-12-01,1.13168363750986,1.09564548725907,1.15366510288262
"63",2025-12-02,1.12756538781526,1.09163856628941,1.15051445398793
"64",2025-12-03,1.12332170407647,1.09128624975177,1.14848971209867
"65",2025-12-04,1.12053543935254,1.08960571793283,1.1461643695936
"66",2025-12-05,1.11750826802007,1.08985891715712,1.14229371524596
"67",2025-12-06,1.11459310258916,1.08966125917223,1.14015152223346
"68",2025-12-07,1.11125666257156,1.08825313780694,1.13645008909749
"69",2025-12-08,1.1076316804492,1.08388475921771,1.13507677327353
"70",2025-12-09,1.10380710923219,1.07967608484151,1.12954557191776
"71",2025-12-10,1.09932115786282,1.07464932564388,1.12735380768741
"72",2025-12-11,1.09571431626497,1.07245661262968,1.12324097486902
"73",2025-12-12,1.09194251031329,1.06713762001572,1.11989748958724
"74",2025-12-13,1.08806865545214,1.0618254258362,1.11376902220958
"75",2025-12-14,1.08496118827918,1.06182833631104,1.11025520454383
"76",2025-12-15,1.08114897679947,1.05830698383217,1.1055020631177
"77",2025-12-16,1.07763837552978,1.05192021304443,1.1028274147852
"78",2025-12-17,1.07432623883495,1.05012361277793,1.09841225367776
"79",2025-12-18,1.07064214625956,1.04798367694185,1.09471782623877
"80",2025-12-19,1.06720181233879,1.04431007151383,1.09171341768915
"81",2025-12-20,1.06447616262355,1.03890330586962,1.08646310633168
