quantile,target_end_date,value
0.55,2026-01-06,2855.3500000000004
0.55,2026-01-07,2671.25
0.55,2026-01-08,2503.45
0.55,2026-01-09,2344.9
0.55,2026-01-10,2190.45
0.55,2026-01-11,2061.45
0.55,2026-01-12,1927.9
0.55,2026-01-13,1814.8000000000002
0.55,2026-01-14,1685.9
0.6,2026-01-01,3792.4
0.6,2026-01-02,3681.4
0.6,2026-01-03,3482.0
0.6,2026-01-04,3293.4
0.6,2026-01-05,3112.6
0.6,2026-01-06,2919.4
0.6,2026-01-07,2751.8
0.6,2026-01-08,2564.0
0.6,2026-01-09,2424.0
0.6,2026-01-10,2269.0
0.6,2026-01-11,2129.4
0.6,2026-01-12,2008.6
0.6,2026-01-13,1889.0
0.6,2026-01-14,1767.4
0.65,2026-01-01,3845.05
0.65,2026-01-02,3731.35
0.65,2026-01-03,3543.7
0.65,2026-01-04,3354.0
0.65,2026-01-05,3177.35
0.65,2026-01-06,2985.35
0.65,2026-01-07,2818.35
0.65,2026-01-08,2645.35
0.65,2026-01-09,2505.4
0.65,2026-01-10,2350.0
0.65,2026-01-11,2207.0
0.65,2026-01-12,2084.0
0.65,2026-01-13,1962.35
0.65,2026-01-14,1840.0
0.7,2026-01-01,3891.0
0.7,2026-01-02,3775.3
0.7,2026-01-03,3604.6
0.7,2026-01-04,3425.0
0.7,2026-01-05,3239.8999999999996
0.7,2026-01-06,3067.3
0.7,2026-01-07,2894.6
0.7,2026-01-08,2729.0
0.7,2026-01-09,2577.8999999999996
0.7,2026-01-10,2441.0
0.7,2026-01-11,2293.3
0.7,2026-01-12,2163.3
0.7,2026-01-13,2049.3
0.7,2026-01-14,1931.6
0.75,2026-01-01,3943.5
0.75,2026-01-02,3828.25
0.75,2026-01-03,3662.0
0.75,2026-01-04,3486.25
0.75,2026-01-05,3308.0
0.75,2026-01-06,3141.0
0.75,2026-01-07,2971.0
0.75,2026-01-08,2824.0
0.75,2026-01-09,2675.0
0.75,2026-01-10,2536.25
0.75,2026-01-11,2393.0
0.75,2026-01-12,2260.25
0.75,2026-01-13,2149.5
0.75,2026-01-14,2037.5
0.8,2026-01-01,3999.2
0.8,2026-01-02,3891.0
0.8,2026-01-03,3736.2
0.8,2026-01-04,3548.0
0.8,2026-01-05,3400.4
0.8,2026-01-06,3224.2000000000003
0.8,2026-01-07,3076.0
0.8,2026-01-08,2916.2
0.8,2026-01-09,2764.0
0.8,2026-01-10,2633.2
0.8,2026-01-11,2499.2
0.8,2026-01-12,2377.4
0.8,2026-01-13,2244.2
0.8,2026-01-14,2135.4
0.85,2026-01-01,4070.0
0.85,2026-01-02,3961.0
