quantile,target_end_date,value
0.55,2026-01-07,6045.0
0.55,2026-01-08,6168.9
0.55,2026-01-09,6293.0
0.55,2026-01-10,6409.9
0.55,2026-01-11,6537.0
0.55,2026-01-12,6669.45
0.55,2026-01-13,6806.0
0.55,2026-01-14,6946.0
0.6,2026-01-01,5402.4
0.6,2026-01-02,5505.2
0.6,2026-01-03,5614.0
0.6,2026-01-04,5718.0
0.6,2026-01-05,5843.4
0.6,2026-01-06,5963.8
0.6,2026-01-07,6079.0
0.6,2026-01-08,6203.4
0.6,2026-01-09,6327.8
0.6,2026-01-10,6451.4
0.6,2026-01-11,6591.0
0.6,2026-01-12,6726.0
0.6,2026-01-13,6865.0
0.6,2026-01-14,7001.4
0.65,2026-01-01,5418.35
0.65,2026-01-02,5519.35
0.65,2026-01-03,5634.0
0.65,2026-01-04,5749.0
0.65,2026-01-05,5865.35
0.65,2026-01-06,5993.35
0.65,2026-01-07,6118.0
0.65,2026-01-08,6247.4
0.65,2026-01-09,6373.0
0.65,2026-01-10,6514.0
0.65,2026-01-11,6644.4
0.65,2026-01-12,6785.35
0.65,2026-01-13,6929.35
0.65,2026-01-14,7074.0
0.7,2026-01-01,5434.0
0.7,2026-01-02,5539.0
0.7,2026-01-03,5658.0
0.7,2026-01-04,5773.6
0.7,2026-01-05,5891.9
0.7,2026-01-06,6022.3
0.7,2026-01-07,6157.9
0.7,2026-01-08,6293.0
0.7,2026-01-09,6420.6
0.7,2026-01-10,6568.6
0.7,2026-01-11,6699.9
0.7,2026-01-12,6843.3
0.7,2026-01-13,6997.3
0.7,2026-01-14,7138.6
0.75,2026-01-01,5455.25
0.75,2026-01-02,5558.25
0.75,2026-01-03,5686.0
0.75,2026-01-04,5797.0
0.75,2026-01-05,5933.0
0.75,2026-01-06,6063.25
0.75,2026-01-07,6199.25
0.75,2026-01-08,6334.25
0.75,2026-01-09,6472.0
0.75,2026-01-10,6621.0
0.75,2026-01-11,6756.0
0.75,2026-01-12,6931.25
0.75,2026-01-13,7070.25
0.75,2026-01-14,7233.25
0.8,2026-01-01,5476.0
0.8,2026-01-02,5584.2
0.8,2026-01-03,5712.0
0.8,2026-01-04,5828.2
0.8,2026-01-05,5970.0
0.8,2026-01-06,6103.2
0.8,2026-01-07,6239.2
0.8,2026-01-08,6389.4
0.8,2026-01-09,6528.4
0.8,2026-01-10,6678.2
0.8,2026-01-11,6810.0
0.8,2026-01-12,6981.2
0.8,2026-01-13,7151.4
0.8,2026-01-14,7321.0
0.85,2026-01-01,5506.0
0.85,2026-01-02,5611.0
0.85,2026-01-03,5740.15
0.85,2026-01-04,5863.0
0.85,2026-01-05,6008.0
0.85,2026-01-06,6149.15
0.85,2026-01-07,6286.15
0.85,2026-01-08,6441.15
0.85,2026-01-09,6596.15
0.85,2026-01-10,6747.15
0.85,2026-01-11,6917.15
0.85,2026-01-12,7075.15
0.85,2026-01-13,7235.15
0.85,2026-01-14,7410.6
0.9,2026-01-01,5528.0
0.9,2026-01-02,5646.0
0.9,2026-01-03,5778.0
0.9,2026-01-04,5908.0
0.9,2026-01-05,6058.1
0.9,2026-01-06,6208.1
0.9,2026-01-07,6368.1
0.9,2026-01-08,6508.3
0.9,2026-01-09,6676.1
0.9,2026-01-10,6837.4
0.9,2026-01-11,7019.4
0.9,2026-01-12,7185.0
0.9,2026-01-13,7374.5
0.9,2026-01-14,7546.1
0.95,2026-01-01,5569.0
0.95,2026-01-02,5698.05
0.95,2026-01-03,5840.0
0.95,2026-01-04,5984.1
0.95,2026-01-05,6145.0
0.95,2026-01-06,6291.0
0.95,2026-01-07,6460.05
0.95,2026-01-08,6629.0
0.95,2026-01-09,6810.1
0.95,2026-01-10,7006.25
0.95,2026-01-11,7161.05
0.95,2026-01-12,7363.0
0.95,2026-01-13,7567.2
0.95,2026-01-14,7795.25
0.975,2026-01-01,5600.1
0.975,2026-01-02,5736.025
0.975,2026-01-03,5889.075
0.975,2026-01-04,6028.075
0.975,2026-01-05,6201.15
0.975,2026-01-06,6352.05
0.975,2026-01-07,6558.025
0.975,2026-01-08,6721.224999999999
0.975,2026-01-09,6899.125
0.975,2026-01-10,7113.1
0.975,2026-01-11,7304.424999999999
0.975,2026-01-12,7502.299999999999
0.975,2026-01-13,7745.05
0.975,2026-01-14,7920.474999999999
0.99,2026-01-01,5652.16
0.99,2026-01-02,5798.04
0.99,2026-01-03,5940.09
0.99,2026-01-04,6086.05
0.99,2026-01-05,6277.07
0.99,2026-01-06,6463.07
0.99,2026-01-07,6632.25
0.99,2026-01-08,6879.02
0.99,2026-01-09,7027.11
0.99,2026-01-10,7252.21
0.99,2026-01-11,7467.429999999999
0.99,2026-01-12,7701.03
0.99,2026-01-13,7965.17
0.99,2026-01-14,8216.04
