quantile,target_end_date,value
0.55,2026-01-07,7361.45
0.55,2026-01-08,7659.0
0.55,2026-01-09,7975.45
0.55,2026-01-10,8315.45
0.55,2026-01-11,8660.0
0.55,2026-01-12,9018.0
0.55,2026-01-13,9395.0
0.55,2026-01-14,9783.45
0.6,2026-01-01,5849.0
0.6,2026-01-02,6041.4
0.6,2026-01-03,6280.4
0.6,2026-01-04,6531.4
0.6,2026-01-05,6800.0
0.6,2026-01-06,7085.0
0.6,2026-01-07,7380.0
0.6,2026-01-08,7678.0
0.6,2026-01-09,7997.0
0.6,2026-01-10,8344.0
0.6,2026-01-11,8685.0
0.6,2026-01-12,9040.8
0.6,2026-01-13,9426.4
0.6,2026-01-14,9813.0
0.65,2026-01-01,5860.0
0.65,2026-01-02,6056.35
0.65,2026-01-03,6295.0
0.65,2026-01-04,6549.0
0.65,2026-01-05,6814.35
0.65,2026-01-06,7103.35
0.65,2026-01-07,7400.35
0.65,2026-01-08,7702.35
0.65,2026-01-09,8024.35
0.65,2026-01-10,8376.7
0.65,2026-01-11,8713.0
0.65,2026-01-12,9072.35
0.65,2026-01-13,9459.05
0.65,2026-01-14,9858.35
0.7,2026-01-01,5872.0
0.7,2026-01-02,6070.3
0.7,2026-01-03,6310.0
0.7,2026-01-04,6568.3
0.7,2026-01-05,6833.0
0.7,2026-01-06,7125.3
0.7,2026-01-07,7426.0
0.7,2026-01-08,7723.3
0.7,2026-01-09,8058.0
0.7,2026-01-10,8400.3
0.7,2026-01-11,8743.0
0.7,2026-01-12,9104.0
0.7,2026-01-13,9489.3
0.7,2026-01-14,9895.0
0.75,2026-01-01,5885.25
0.75,2026-01-02,6085.0
0.75,2026-01-03,6327.25
0.75,2026-01-04,6585.0
0.75,2026-01-05,6850.0
0.75,2026-01-06,7146.5
0.75,2026-01-07,7446.0
0.75,2026-01-08,7752.0
0.75,2026-01-09,8084.0
0.75,2026-01-10,8431.75
0.75,2026-01-11,8771.5
0.75,2026-01-12,9141.25
0.75,2026-01-13,9531.25
0.75,2026-01-14,9931.0
0.8,2026-01-01,5901.0
0.8,2026-01-02,6098.0
0.8,2026-01-03,6346.0
0.8,2026-01-04,6603.0
0.8,2026-01-05,6876.0
0.8,2026-01-06,7170.0
0.8,2026-01-07,7467.2
0.8,2026-01-08,7779.0
0.8,2026-01-09,8108.0
0.8,2026-01-10,8462.0
0.8,2026-01-11,8812.4
0.8,2026-01-12,9189.0
0.8,2026-01-13,9594.2
0.8,2026-01-14,9992.2
0.85,2026-01-01,5917.0
0.85,2026-01-02,6112.3
0.85,2026-01-03,6364.0
0.85,2026-01-04,6627.15
0.85,2026-01-05,6896.0
0.85,2026-01-06,7194.15
0.85,2026-01-07,7495.15
0.85,2026-01-08,7817.0
0.85,2026-01-09,8141.15
0.85,2026-01-10,8495.0
0.85,2026-01-11,8850.0
0.85,2026-01-12,9242.6
0.85,2026-01-13,9639.0
0.85,2026-01-14,10057.3
0.9,2026-01-01,5939.0
0.9,2026-01-02,6132.0
0.9,2026-01-03,6388.1
0.9,2026-01-04,6648.1
0.9,2026-01-05,6921.0
0.9,2026-01-06,7221.1
0.9,2026-01-07,7533.2
0.9,2026-01-08,7861.2
0.9,2026-01-09,8192.2
0.9,2026-01-10,8556.0
0.9,2026-01-11,8921.2
0.9,2026-01-12,9305.2
0.9,2026-01-13,9706.1
0.9,2026-01-14,10123.0
0.95,2026-01-01,5970.1
0.95,2026-01-02,6161.0
0.95,2026-01-03,6420.1
0.95,2026-01-04,6692.15
0.95,2026-01-05,6971.2
0.95,2026-01-06,7279.05
0.95,2026-01-07,7592.0
0.95,2026-01-08,7928.05
0.95,2026-01-09,8266.15
0.95,2026-01-10,8619.05
0.95,2026-01-11,9003.55
0.95,2026-01-12,9392.05
0.95,2026-01-13,9802.15
0.95,2026-01-14,10258.05
0.975,2026-01-01,5995.05
0.975,2026-01-02,6200.05
0.975,2026-01-03,6455.025
0.975,2026-01-04,6724.125
0.975,2026-01-05,7028.075
0.975,2026-01-06,7323.0
0.975,2026-01-07,7632.0
0.975,2026-01-08,7963.025
0.975,2026-01-09,8337.125
0.975,2026-01-10,8668.025
0.975,2026-01-11,9067.025
0.975,2026-01-12,9476.0
0.975,2026-01-13,9892.1
0.975,2026-01-14,10346.025
0.99,2026-01-01,6021.0
0.99,2026-01-02,6238.07
0.99,2026-01-03,6486.05
0.99,2026-01-04,6766.02
0.99,2026-01-05,7064.05
0.99,2026-01-06,7399.1
0.99,2026-01-07,7699.16
0.99,2026-01-08,8028.09
0.99,2026-01-09,8385.18
0.99,2026-01-10,8759.21
0.99,2026-01-11,9202.03
0.99,2026-01-12,9559.08
0.99,2026-01-13,9994.13
0.99,2026-01-14,10433.21
