quantile,target_end_date,value
0.55,2026-01-06,3696.9
0.55,2026-01-07,3579.0
0.55,2026-01-08,3429.45
0.55,2026-01-09,3325.1500000000005
0.55,2026-01-10,3215.0
0.55,2026-01-11,3082.8
0.55,2026-01-12,2989.45
0.55,2026-01-13,2888.9
0.55,2026-01-14,2780.0
0.6,2026-01-01,4334.8
0.6,2026-01-02,4282.8
0.6,2026-01-03,4167.4
0.6,2026-01-04,4051.4
0.6,2026-01-05,3930.6
0.6,2026-01-06,3793.6
0.6,2026-01-07,3683.2
0.6,2026-01-08,3566.0
0.6,2026-01-09,3429.6
0.6,2026-01-10,3344.8
0.6,2026-01-11,3219.8
0.6,2026-01-12,3133.2
0.6,2026-01-13,3014.4
0.6,2026-01-14,2925.0
0.65,2026-01-01,4400.05
0.65,2026-01-02,4348.7
0.65,2026-01-03,4237.1
0.65,2026-01-04,4140.35
0.65,2026-01-05,4030.0
0.65,2026-01-06,3903.75
0.65,2026-01-07,3786.05
0.65,2026-01-08,3677.4
0.65,2026-01-09,3575.35
0.65,2026-01-10,3483.0
0.65,2026-01-11,3382.8
0.65,2026-01-12,3273.75
0.65,2026-01-13,3181.1000000000004
0.65,2026-01-14,3085.7
0.7,2026-01-01,4471.6
0.7,2026-01-02,4420.3
0.7,2026-01-03,4322.3
0.7,2026-01-04,4220.6
0.7,2026-01-05,4115.6
0.7,2026-01-06,4013.0
0.7,2026-01-07,3912.0
0.7,2026-01-08,3800.2
0.7,2026-01-09,3713.3
0.7,2026-01-10,3614.499999999999
0.7,2026-01-11,3530.6
0.7,2026-01-12,3424.6
0.7,2026-01-13,3322.7
0.7,2026-01-14,3244.6
0.75,2026-01-01,4533.25
0.75,2026-01-02,4500.5
0.75,2026-01-03,4413.0
0.75,2026-01-04,4314.75
0.75,2026-01-05,4249.0
0.75,2026-01-06,4143.75
0.75,2026-01-07,4035.5
0.75,2026-01-08,3962.75
0.75,2026-01-09,3860.75
0.75,2026-01-10,3775.25
0.75,2026-01-11,3707.0
0.75,2026-01-12,3620.0
0.75,2026-01-13,3550.5
0.75,2026-01-14,3474.5
0.8,2026-01-01,4611.2
0.8,2026-01-02,4587.0
0.8,2026-01-03,4521.0
0.8,2026-01-04,4440.6
0.8,2026-01-05,4364.2
0.8,2026-01-06,4278.6
0.8,2026-01-07,4204.2
0.8,2026-01-08,4120.0
0.8,2026-01-09,4046.2
0.8,2026-01-10,3973.2000000000003
0.8,2026-01-11,3907.6000000000004
0.8,2026-01-12,3823.2
0.8,2026-01-13,3738.4000000000005
0.8,2026-01-14,3688.6000000000004
0.85,2026-01-01,4688.45
0.85,2026-01-02,4684.15
0.85,2026-01-03,4637.3
0.85,2026-01-04,4578.3
0.85,2026-01-05,4506.15
0.85,2026-01-06,4440.15
0.85,2026-01-07,4405.45
0.85,2026-01-08,4348.6
0.85,2026-01-09,4255.0
0.85,2026-01-10,4190.15
0.85,2026-01-11,4120.349999999999
0.85,2026-01-12,4096.5
0.85,2026-01-13,4019.75
0.85,2026-01-14,3971.7999999999997
0.9,2026-01-01,4803.0
0.9,2026-01-02,4804.4
0.9,2026-01-03,4799.1
0.9,2026-01-04,4762.900000000001
0.9,2026-01-05,4699.1
0.9,2026-01-06,4663.4
0.9,2026-01-07,4635.1
0.9,2026-01-08,4627.3
0.9,2026-01-09,4589.1
0.9,2026-01-10,4522.5
0.9,2026-01-11,4476.3
0.9,2026-01-12,4436.0
0.9,2026-01-13,4432.6
0.9,2026-01-14,4367.6
0.95,2026-01-01,4966.05
0.95,2026-01-02,5012.749999999999
0.95,2026-01-03,5017.15
0.95,2026-01-04,5039.749999999999
0.95,2026-01-05,5032.5999999999985
0.95,2026-01-06,5035.749999999999
0.95,2026-01-07,5026.349999999999
0.95,2026-01-08,5039.749999999999
0.95,2026-01-09,5050.349999999999
0.95,2026-01-10,5042.5999999999985
0.95,2026-01-11,5017.499999999998
0.95,2026-01-12,5045.25
0.95,2026-01-13,5025.399999999999
0.95,2026-01-14,5081.45
0.975,2026-01-01,5104.525
0.975,2026-01-02,5171.749999999999
0.975,2026-01-03,5217.025
0.975,2026-01-04,5235.075
0.975,2026-01-05,5273.025
0.975,2026-01-06,5275.275
0.975,2026-01-07,5342.2
0.975,2026-01-08,5374.025
0.975,2026-01-09,5441.05
0.975,2026-01-10,5467.275
0.975,2026-01-11,5496.474999999999
0.975,2026-01-12,5491.4749999999985
0.975,2026-01-13,5650.874999999999
0.975,2026-01-14,5587.249999999997
0.99,2026-01-01,5316.12
0.99,2026-01-02,5374.61
0.99,2026-01-03,5509.09
0.99,2026-01-04,5566.24
0.99,2026-01-05,5617.679999999999
0.99,2026-01-06,5767.07
0.99,2026-01-07,5785.229999999999
0.99,2026-01-08,5898.459999999999
0.99,2026-01-09,5880.359999999999
0.99,2026-01-10,6002.26
0.99,2026-01-11,6085.759999999998
0.99,2026-01-12,6272.33
0.99,2026-01-13,6295.48
0.99,2026-01-14,6360.309999999998
