quantile,target_end_date,value
0.55,2026-01-07,6229.0
0.55,2026-01-08,6376.45
0.55,2026-01-09,6510.45
0.55,2026-01-10,6677.0
0.55,2026-01-11,6815.0
0.55,2026-01-12,6977.45
0.55,2026-01-13,7134.0
0.55,2026-01-14,7310.0
0.6,2026-01-01,5467.0
0.6,2026-01-02,5579.4
0.6,2026-01-03,5703.0
0.6,2026-01-04,5840.0
0.6,2026-01-05,5968.0
0.6,2026-01-06,6110.0
0.6,2026-01-07,6252.0
0.6,2026-01-08,6399.0
0.6,2026-01-09,6534.4
0.6,2026-01-10,6704.4
0.6,2026-01-11,6852.4
0.6,2026-01-12,7014.0
0.6,2026-01-13,7172.0
0.6,2026-01-14,7346.0
0.65,2026-01-01,5478.35
0.65,2026-01-02,5591.35
0.65,2026-01-03,5717.0
0.65,2026-01-04,5853.0
0.65,2026-01-05,5987.35
0.65,2026-01-06,6134.0
0.65,2026-01-07,6276.0
0.65,2026-01-08,6420.35
0.65,2026-01-09,6571.35
0.65,2026-01-10,6728.0
0.65,2026-01-11,6884.7
0.65,2026-01-12,7054.35
0.65,2026-01-13,7207.0
0.65,2026-01-14,7390.35
0.7,2026-01-01,5493.0
0.7,2026-01-02,5605.3
0.7,2026-01-03,5729.0
0.7,2026-01-04,5869.3
0.7,2026-01-05,6007.3
0.7,2026-01-06,6153.0
0.7,2026-01-07,6297.0
0.7,2026-01-08,6451.0
0.7,2026-01-09,6605.0
0.7,2026-01-10,6758.0
0.7,2026-01-11,6927.3
0.7,2026-01-12,7091.0
0.7,2026-01-13,7252.3
0.7,2026-01-14,7435.9
0.75,2026-01-01,5506.0
0.75,2026-01-02,5620.0
0.75,2026-01-03,5744.0
0.75,2026-01-04,5884.0
0.75,2026-01-05,6026.0
0.75,2026-01-06,6175.25
0.75,2026-01-07,6320.25
0.75,2026-01-08,6476.0
0.75,2026-01-09,6629.0
0.75,2026-01-10,6790.25
0.75,2026-01-11,6965.25
0.75,2026-01-12,7127.0
0.75,2026-01-13,7291.25
0.75,2026-01-14,7481.5
0.8,2026-01-01,5521.0
0.8,2026-01-02,5635.2
0.8,2026-01-03,5766.2
0.8,2026-01-04,5903.0
0.8,2026-01-05,6049.0
0.8,2026-01-06,6201.0
0.8,2026-01-07,6350.0
0.8,2026-01-08,6510.2
0.8,2026-01-09,6667.2
0.8,2026-01-10,6833.2
0.8,2026-01-11,7001.2
0.8,2026-01-12,7172.4
0.8,2026-01-13,7343.0
0.8,2026-01-14,7536.0
0.85,2026-01-01,5540.0
0.85,2026-01-02,5656.0
0.85,2026-01-03,5790.0
0.85,2026-01-04,5933.0
0.85,2026-01-05,6080.15
0.85,2026-01-06,6228.15
0.85,2026-01-07,6402.0
0.85,2026-01-08,6548.0
0.85,2026-01-09,6703.15
0.85,2026-01-10,6872.0
0.85,2026-01-11,7050.0
0.85,2026-01-12,7229.3
0.85,2026-01-13,7411.15
0.85,2026-01-14,7595.75
0.9,2026-01-01,5566.1
0.9,2026-01-02,5682.0
0.9,2026-01-03,5819.1
0.9,2026-01-04,5962.1
0.9,2026-01-05,6116.0
0.9,2026-01-06,6269.0
0.9,2026-01-07,6446.0
0.9,2026-01-08,6598.0
0.9,2026-01-09,6757.1
0.9,2026-01-10,6927.5
0.9,2026-01-11,7132.1
0.9,2026-01-12,7297.0
0.9,2026-01-13,7490.5
0.9,2026-01-14,7684.3
0.95,2026-01-01,5600.05
0.95,2026-01-02,5720.1
0.95,2026-01-03,5862.1
0.95,2026-01-04,6013.1
0.95,2026-01-05,6168.1
0.95,2026-01-06,6333.15
0.95,2026-01-07,6511.15
0.95,2026-01-08,6682.2
0.95,2026-01-09,6839.05
0.95,2026-01-10,7017.1
0.95,2026-01-11,7215.699999999999
0.95,2026-01-12,7400.2
0.95,2026-01-13,7624.25
0.95,2026-01-14,7799.25
0.975,2026-01-01,5636.0
0.975,2026-01-02,5764.0
0.975,2026-01-03,5893.125
0.975,2026-01-04,6065.0
0.975,2026-01-05,6226.025
0.975,2026-01-06,6387.025
0.975,2026-01-07,6555.224999999999
0.975,2026-01-08,6725.1
0.975,2026-01-09,6901.05
0.975,2026-01-10,7099.025
0.975,2026-01-11,7303.0
0.975,2026-01-12,7490.474999999999
0.975,2026-01-13,7707.125
0.975,2026-01-14,7915.0
0.99,2026-01-01,5668.0
0.99,2026-01-02,5793.0
0.99,2026-01-03,5930.05
0.99,2026-01-04,6097.04
0.99,2026-01-05,6267.15
0.99,2026-01-06,6435.02
0.99,2026-01-07,6626.01
0.99,2026-01-08,6797.0599999999995
0.99,2026-01-09,7002.1
0.99,2026-01-10,7230.02
0.99,2026-01-11,7410.03
0.99,2026-01-12,7634.18
0.99,2026-01-13,7832.139999999999
0.99,2026-01-14,8082.23
