quantile,target_end_date,value
0.55,2026-01-07,7525.0
0.55,2026-01-08,7855.0
0.55,2026-01-09,8195.45
0.55,2026-01-10,8549.45
0.55,2026-01-11,8927.0
0.55,2026-01-12,9315.45
0.55,2026-01-13,9723.45
0.55,2026-01-14,10147.45
0.6,2026-01-01,5907.0
0.6,2026-01-02,6111.0
0.6,2026-01-03,6358.0
0.6,2026-01-04,6634.8
0.6,2026-01-05,6923.0
0.6,2026-01-06,7232.0
0.6,2026-01-07,7550.0
0.6,2026-01-08,7887.4
0.6,2026-01-09,8233.2
0.6,2026-01-10,8590.8
0.6,2026-01-11,8981.4
0.6,2026-01-12,9380.0
0.6,2026-01-13,9790.4
0.6,2026-01-14,10227.0
0.65,2026-01-01,5919.35
0.65,2026-01-02,6127.0
0.65,2026-01-03,6375.35
0.65,2026-01-04,6652.0
0.65,2026-01-05,6949.35
0.65,2026-01-06,7258.0
0.65,2026-01-07,7582.05
0.65,2026-01-08,7922.7
0.65,2026-01-09,8273.35
0.65,2026-01-10,8640.35
0.65,2026-01-11,9028.05
0.65,2026-01-12,9425.0
0.65,2026-01-13,9854.35
0.65,2026-01-14,10299.75
0.7,2026-01-01,5937.0
0.7,2026-01-02,6145.0
0.7,2026-01-03,6396.0
0.7,2026-01-04,6674.3
0.7,2026-01-05,6977.3
0.7,2026-01-06,7286.0
0.7,2026-01-07,7610.0
0.7,2026-01-08,7952.6
0.7,2026-01-09,8318.3
0.7,2026-01-10,8682.3
0.7,2026-01-11,9085.6
0.7,2026-01-12,9498.3
0.7,2026-01-13,9924.3
0.7,2026-01-14,10370.3
0.75,2026-01-01,5954.0
0.75,2026-01-02,6161.0
0.75,2026-01-03,6420.0
0.75,2026-01-04,6694.0
0.75,2026-01-05,7010.0
0.75,2026-01-06,7313.0
0.75,2026-01-07,7648.25
0.75,2026-01-08,7993.5
0.75,2026-01-09,8364.25
0.75,2026-01-10,8729.25
0.75,2026-01-11,9132.5
0.75,2026-01-12,9555.5
0.75,2026-01-13,9997.25
0.75,2026-01-14,10445.25
0.8,2026-01-01,5971.0
0.8,2026-01-02,6181.0
0.8,2026-01-03,6434.0
0.8,2026-01-04,6723.2
0.8,2026-01-05,7033.0
0.8,2026-01-06,7345.0
0.8,2026-01-07,7688.0
0.8,2026-01-08,8046.2
0.8,2026-01-09,8412.2
0.8,2026-01-10,8788.6
0.8,2026-01-11,9198.2
0.8,2026-01-12,9628.2
0.8,2026-01-13,10078.4
0.8,2026-01-14,10542.6
0.85,2026-01-01,5994.0
0.85,2026-01-02,6202.0
0.85,2026-01-03,6467.15
0.85,2026-01-04,6760.15
0.85,2026-01-05,7072.15
0.85,2026-01-06,7395.0
0.85,2026-01-07,7740.15
0.85,2026-01-08,8108.15
0.85,2026-01-09,8468.15
0.85,2026-01-10,8853.3
0.85,2026-01-11,9279.45
0.85,2026-01-12,9744.15
0.85,2026-01-13,10158.75
0.85,2026-01-14,10651.3
0.9,2026-01-01,6015.0
0.9,2026-01-02,6227.1
0.9,2026-01-03,6496.1
0.9,2026-01-04,6796.0
0.9,2026-01-05,7113.0
0.9,2026-01-06,7445.2
0.9,2026-01-07,7805.0
0.9,2026-01-08,8191.3
0.9,2026-01-09,8551.2
0.9,2026-01-10,8963.3
0.9,2026-01-11,9384.0
0.9,2026-01-12,9830.2
0.9,2026-01-13,10282.8
0.9,2026-01-14,10789.2
0.95,2026-01-01,6056.05
0.95,2026-01-02,6276.0
0.95,2026-01-03,6548.0
0.95,2026-01-04,6852.15
0.95,2026-01-05,7180.0
0.95,2026-01-06,7534.15
0.95,2026-01-07,7894.0
0.95,2026-01-08,8280.05
0.95,2026-01-09,8692.1
0.95,2026-01-10,9093.15
0.95,2026-01-11,9570.35
0.95,2026-01-12,9998.05
0.95,2026-01-13,10530.25
0.95,2026-01-14,11012.4
0.975,2026-01-01,6084.0
0.975,2026-01-02,6322.075
0.975,2026-01-03,6583.05
