"","date","median","lower_95","upper_95"
"1",2025-10-03,1.63645904966034,1.41707660665232,1.89598884164678
"2",2025-10-04,1.62854867494769,1.42367387774674,1.88327829879008
"3",2025-10-05,1.61364270235343,1.43228703114317,1.83591044536127
"4",2025-10-06,1.57915682838272,1.44107865051869,1.77204531638574
"5",2025-10-07,1.55583195540844,1.4251078288074,1.72649799237013
"6",2025-10-08,1.53153438399724,1.4122564806579,1.66198775266137
"7",2025-10-09,1.49317695386893,1.39158481167515,1.62291786363231
"8",2025-10-10,1.45624170288125,1.36832447124739,1.56119566808298
"9",2025-10-11,1.41430052347438,1.33977032221771,1.51793102532475
"10",2025-10-12,1.38007381466097,1.3076232773577,1.47656449189728
"11",2025-10-13,1.33791261656804,1.26989331707114,1.42264199419783
"12",2025-10-14,1.30230773416629,1.23591354004867,1.36740005983243
"13",2025-10-15,1.26265837953706,1.19074598316647,1.34996656058168
"14",2025-10-16,1.22885998028816,1.15614018518319,1.29368971905978
"15",2025-10-17,1.20486034362295,1.12207436674952,1.27133404232835
"16",2025-10-18,1.18877854586723,1.11548932566233,1.25885679502893
"17",2025-10-19,1.17180276191011,1.10967091934521,1.23230363863983
"18",2025-10-20,1.15920874349687,1.0900533951277,1.21483831488601
"19",2025-10-21,1.15464695799309,1.08362100516811,1.20904107166698
"20",2025-10-22,1.15024301309936,1.0867131775637,1.20327412167512
"21",2025-10-23,1.1552538530934,1.10030014269357,1.21948656957283
"22",2025-10-24,1.15588515281725,1.0982154980355,1.2212164502283
"23",2025-10-25,1.16648099599423,1.1151360930927,1.22177142006322
"24",2025-10-26,1.17480215447108,1.12227862046646,1.24054355920629
"25",2025-10-27,1.18155456596035,1.13114171762894,1.24488943638264
"26",2025-10-28,1.19080946270922,1.13993537397046,1.24345574751976
"27",2025-10-29,1.19637951386796,1.1422352086772,1.25173289780829
"28",2025-10-30,1.20036297366134,1.14231062703329,1.259641686419
"29",2025-10-31,1.19682067811933,1.14406139589254,1.25879506488108
"30",2025-11-01,1.20141591142258,1.15600783934445,1.25255856100109
"31",2025-11-02,1.19262443384754,1.14398472902052,1.24478898672246
"32",2025-11-03,1.19681662391346,1.14864857899041,1.24638250141911
"33",2025-11-04,1.17980394674571,1.1302693422328,1.2287970798868
"34",2025-11-05,1.18206904701812,1.13083668579104,1.23235343369466
"35",2025-11-06,1.18068054680688,1.128519771032,1.23285116366479
"36",2025-11-07,1.17844102894679,1.13442013113884,1.22174031006431
"37",2025-11-08,1.17299855408296,1.11845837566484,1.22307400105253
"38",2025-11-09,1.17407028925815,1.12650270832673,1.23227300174736
"39",2025-11-10,1.1693886985063,1.11927863713978,1.21591791705288
"40",2025-11-11,1.16832177895152,1.1162828324219,1.22056643145513
"41",2025-11-12,1.16613699282457,1.11851737651946,1.20845944480273
"42",2025-11-13,1.17255228990406,1.12665147633598,1.22266285748453
"43",2025-11-14,1.18217364941547,1.13386857702944,1.23610665305757
"44",2025-11-15,1.18835056255352,1.14267915762891,1.24089860104763
"45",2025-11-16,1.18659501433617,1.14251272417512,1.23700212830971
"46",2025-11-17,1.17544031895332,1.13465123465565,1.2212943260612
"47",2025-11-18,1.16273748165277,1.10730234057176,1.20775774942793
"48",2025-11-19,1.15947927533771,1.10616481092814,1.20482338173252
"49",2025-11-20,1.14901080233109,1.10126111479906,1.19223281294556
"50",2025-11-21,1.15414548905798,1.11175333971323,1.19301543034715
"51",2025-11-22,1.15190261149965,1.09774737820595,1.19660590150346
"52",2025-11-23,1.16197444818599,1.11426964888834,1.20512996975702
"53",2025-11-24,1.16648621219191,1.1236313868171,1.20471815440382
"54",2025-11-25,1.16275910330073,1.12058270793978,1.20954703395052
"55",2025-11-26,1.17072881074076,1.12940174002686,1.21049822577841
"56",2025-11-27,1.18329742507549,1.13877316955805,1.23132074092439
"57",2025-11-28,1.18102293813245,1.13672743519829,1.22603113624799
"58",2025-11-29,1.15562944243889,1.10319205093784,1.19811331117834
"59",2025-11-30,1.14570462381072,1.10073452834597,1.18449547106766
"60",2025-12-01,1.14728649805076,1.10620640810012,1.18664766193285
"61",2025-12-02,1.14010721369168,1.0993315126652,1.18629483750424
"62",2025-12-03,1.13276683731469,1.09270125542372,1.16523283856717
"63",2025-12-04,1.14032454976911,1.10143604973914,1.17499781729011
"64",2025-12-05,1.13250750479786,1.09253668636693,1.17235532093347
"65",2025-12-06,1.12754172485261,1.08408792222186,1.17544946592928
"66",2025-12-07,1.12650361829834,1.08042299810764,1.16090823693432
"67",2025-12-08,1.12981770258281,1.0934386269568,1.16859281141304
"68",2025-12-09,1.13689158283934,1.10410578609469,1.17501269106643
"69",2025-12-10,1.14990592596556,1.11457594354759,1.19556527485342
"70",2025-12-11,1.14990358075888,1.11415185040417,1.19280559940997
"71",2025-12-12,1.13199898066073,1.09890374659758,1.16644560445578
"72",2025-12-13,1.1151815256689,1.0808837652354,1.15284042846749
"73",2025-12-14,1.10188968675398,1.0704766463568,1.13855258055145
"74",2025-12-15,1.0938445100222,1.06435172785977,1.12840802406073
"75",2025-12-16,1.09521685821416,1.0607262670416,1.1325835269814
"76",2025-12-17,1.09201461116796,1.05265251535492,1.12675606979841
"77",2025-12-18,1.08674004348793,1.05186077769439,1.12682121114973
"78",2025-12-19,1.08626295887661,1.05164586762929,1.13587239139013
"79",2025-12-20,1.09523412001151,1.05880324112013,1.14469100405906
"80",2025-12-21,1.09139949252708,1.06091429616978,1.13171358903264
"81",2025-12-22,1.07694592516388,1.04491006089706,1.11195148427502
